method,auc_mean,auc_std,auc_min,auc_max,n_seeds,delta_vs_baseline,delta_ci_low,delta_ci_high,p_value_one_sided,significant_005
baseline,0.8004553734061931,0.017218494868890037,0.773224043715847,0.8306010928961749,10,0.0,0.0,0.0,,False
svm_source,0.7707650273224045,0.00023515381579891975,0.7704918032786885,0.7709471766848817,10,-0.029690346083788677,-0.09242845117845117,0.028594782410571767,0.842,False
subspace,0.7724043715846994,0.0001920022865918853,0.7723132969034607,0.7727686703096539,10,-0.028051001821493626,-0.08955244382483181,0.02957294232348099,0.8345,False
dann,0.7886156648451731,0.025520599852745053,0.7531876138433515,0.8306010928961749,10,-0.011839708561020013,-0.06250343406593406,0.028732224583197078,0.6515,False
mmd,0.8060109289617486,0.014853830992987337,0.7877959927140255,0.8296903460837887,10,0.005555555555555536,-0.027323423864285053,0.045054945054945006,0.365,False
coral,0.7965391621129327,0.016247750360055716,0.7832422586520947,0.8324225865209471,10,-0.003916211293260474,-0.037365573023467734,0.03460837887067381,0.582,False
cdan,0.7868852459016393,0.023671631681381804,0.7495446265938069,0.825136612021858,10,-0.01357012750455373,-0.05555555555555547,0.02396377060439565,0.7435,False
contrastive,0.7971766848816029,0.01794502510567085,0.7814207650273224,0.8360655737704918,10,-0.0032786885245901787,-0.04098513579642774,0.03110421650717701,0.5495,False
