method,auc_mean,auc_std,auc_min,auc_max,n_seeds,delta_vs_baseline,delta_ci_low,delta_ci_high,p_value_one_sided,significant_005
baseline,0.6925564236111111,0.012929710244712646,0.6731770833333335,0.7065972222222222,10,0.0,0.0,0.0,,False
svm_source,0.6779296875,6.862581727797913e-05,0.6777343749999999,0.6779513888888888,10,-0.014626736111111227,-0.08042466580602174,0.06793162920321622,0.639,False
subspace,0.6783637152777778,6.862581727794401e-05,0.6781684027777778,0.6783854166666666,10,-0.014192708333333425,-0.07870394476014263,0.06802638866035272,0.633,False
dann,0.6894965277777778,0.0324630340628909,0.6471354166666666,0.7495659722222222,10,-0.0030598958333334036,-0.07174238938731696,0.07031326327073371,0.523,False
mmd,0.666232638888889,0.01598652615342737,0.6440972222222222,0.6944444444444444,10,-0.026323784722222264,-0.1049400871459694,0.03748036803373829,0.7575,False
coral,0.6627604166666667,0.018686171436021467,0.6315104166666667,0.6922743055555556,10,-0.029796006944444488,-0.11473965627917831,0.04559638444767447,0.7575,False
cdan,0.662326388888889,0.022937408776164785,0.6250000000000001,0.6961805555555556,10,-0.030230034722222264,-0.10134392993308448,0.025708374998188434,0.8205,False
contrastive,0.6717881944444444,0.017703510145627547,0.6527777777777778,0.7044270833333334,10,-0.020768229166666728,-0.10373287504265996,0.053411664145946634,0.6825,False
